item_id;vectors
0;0.32350147|0.2908483|-0.567037|1.0112499|-0.082302205|0.1748719|0.6140982|0.19206668|-0.77199537|-0.24966004|0.3609099|-0.43432298|0.752722|0.4009504|-0.16305445|-0.2726076|-0.35534137|0.19371861|0.01755856|0.4534524|0.05660978|0.31783876|-0.26110908|-0.08295047|-0.5883842|0.27516288|-0.6339832|0.5932572|0.36974174|-0.049063787|-0.3507828|-0.06257126|-0.2853388|0.46124515|0.18586954|0.5607311|0.72020066|-0.0064653754|-1.0334859|-0.21209915|-0.2209158|-0.5659718|-0.7750583|0.021685997|0.5979093|-1.1352849|-0.46298975|0.78621|0.24567947|-0.25507924|0.5728419|0.5141162|-0.1930798|0.89221144|-0.36184636|0.7917831|0.7149067|-0.4754056|-0.82973635|0.060475677|0.5105607|-0.3104344|-0.013401419|-0.35428062|0.15850924|-0.13928802|0.28504178|-0.86779684|0.11050561|0.951095|0.31244335|-0.3212099|-0.3364911|-1.0703194|0.8617086|0.6637353|-0.27132148|-0.2315345|0.35983557|0.08935648|-0.5042741|0.4019804|0.3087349|-0.559235|-0.24522048|0.5297469|0.59145075|1.2976823|0.35590193|0.030788377|-0.020750849|0.19936262|0.16162363|-1.2100475|-0.32883948|1.2028449|0.5780728|0.6042099|-0.29384375|0.6697492
1;-0.08251788|0.32360652|0.46235824|0.37279877|0.30804402|0.64169854|0.5888653|-0.54134774|-0.20948084|0.21668507|0.27392027|-0.74069685|-0.22959764|0.43818215|0.75630134|-0.03068652|-0.08244185|0.11730546|-0.32971695|0.2723248|0.11480984|0.64732623|0.2580958|0.0485131|-0.1991925|0.43371657|-0.6362031|0.3067095|0.384105|0.003205642|-1.0166929|0.1500346|-0.5604335|-0.21131338|0.3663519|1.0069695|0.4687509|0.38735747|0.061190207|-0.39250606|-0.055737913|0.117009506|-0.54872054|-0.07010304|0.1155691|-1.1986125|-0.7105127|0.2722663|-0.41114378|0.88838315|0.22611366|0.25796434|0.12137993|0.41558644|-0.41612792|-0.0354425|0.6887869|-0.2137905|-0.34424952|0.3980043|0.86933136|0.08147681|-0.1024887|-0.08685243|-0.5164839|0.11875299|0.08331772|-0.23741904|0.43499428|0.42838517|-0.15822794|-0.013335444|-0.95170164|-0.36200064|0.23198417|-0.33444926|-0.1211085|-0.24551095|0.76139605|0.08618891|-0.9676851|-0.09728086|0.48306566|0.14140674|0.525342|0.3815052|-0.041150108|0.24219806|0.43861234|0.3337769|-0.23471734|-0.045878083|-0.2515549|-0.16517656|-0.025709748|-0.16744387|-0.095552444|-0.45646226|-0.5368984|0.28850847
2;-0.07367509|0.20821086|0.47498977|0.24104679|-0.24703193|0.5807475|0.141486|0.45725566|-0.58642304|-0.027678102|-0.0044585355|-0.043230057|0.060564727|0.2920545|0.24764048|0.13873507|0.1332142|-0.58115417|0.030261561|0.11558385|0.07604554|0.6406803|0.5815651|-0.074494004|-0.48173302|0.48482245|0.12032415|0.39765272|0.33486545|0.39346182|-0.43862373|-0.38842744|-0.9624765|0.5758057|0.5119285|0.91536593|0.3976115|-0.39855954|-0.21459985|-0.1631618|-0.09952129|0.15738137|-0.47961915|-0.4527927|0.24095766|-0.40608302|0.16321832|1.1266611|-0.5717939|0.29750127|0.3273459|0.19056994|0.5652729|0.76941085|-0.64048374|0.31254286|1.1346447|-0.5308127|0.06964569|-0.07888451|0.29308784|0.4153548|-0.38939446|0.31473035|-0.019927919|0.11195173|0.19972071|-0.59113955|0.7331002|1.0012597|-0.69734037|-0.2335644|-0.81258637|-0.9676704|0.6306241|-0.5967134|-0.22927009|0.16967674|0.18714382|0.14568083|-0.7054396|0.45248753|-0.16095677|0.11566419|-0.32761985|-0.3774566|0.078394525|0.68027943|0.4718507|0.587412|-0.18092996|-0.6312556|-0.10818417|-0.81287384|-0.6638545|0.33473417|0.28725666|-0.46527135|0.023366451|-0.23123331
3;0.19642489|0.07601134|0.41415015|0.21350616|0.02665927|0.31500274|0.25949693|-0.33814758|0.299168|0.10483882|-0.14587545|-0.70538974|-0.13479026|0.51030535|0.47408777|0.014375323|0.047204196|-0.45125592|0.3019698|-0.16105801|-0.37984878|0.22401072|0.2831366|0.0053105652|0.08160283|0.8955277|-0.3931304|-0.2538358|0.49988806|-0.17939812|-0.21113628|0.32386878|-0.009559363|0.3336745|0.34492058|0.1685107|-0.137588|0.3392938|0.1360569|-0.5990925|0.04537899|-0.46164834|-1.2008688|0.12923145|0.849509|-0.47934556|-1.0129869|0.22855154|-0.115192264|-0.33672306|-0.20452419|0.37739068|0.49520087|1.0043333|-0.05414194|0.4066332|0.96420616|-0.45669994|0.014351651|0.20148137|0.604735|0.43621892|0.3882532|-0.2039583|0.2662803|0.40623134|0.51337|-0.57771623|0.6687454|0.6014489|-0.70077604|-0.099988714|-0.5015501|-0.47859102|0.48713356|-0.19725001|0.23856123|-0.5293637|0.56951636|0.8461327|-0.60531074|0.31579736|0.26442432|-0.17538106|0.80709827|-0.45656055|-0.25829297|0.27794832|0.6688957|0.4842773|-0.1026001|-0.18781593|0.09995967|-0.9427333|0.07689738|0.5278046|-0.44520175|-0.6114851|-0.7567172|0.7989176
4;0.22823034|0.19908373|0.7267649|0.6629317|-0.18991254|0.69573367|0.090014935|0.1256622|0.019162238|0.653038|-0.2565132|-0.7718103|-0.23677154|0.46214378|0.01282534|-0.48042223|-0.57704115|-0.5952384|-0.72432506|0.32536545|0.47354454|-0.09231174|0.8331108|0.27723482|-0.60869545|0.8466879|0.19078502|0.49242657|0.265333|0.6939981|-0.036583036|-0.73833334|-0.8397467|0.38158917|0.39732572|0.08875549|-0.01657191|0.3568873|0.506394|-0.39172453|-0.091235675|-0.086489454|-0.36580268|-0.7274436|0.40168834|-0.29060242|-0.26939934|0.299187|0.25243658|0.026509315|0.40647238|0.4705791|0.41764256|-0.028789818|-0.36739457|-0.21113181|0.4611692|-0.16468981|0.11708005|0.07294746|0.3859923|0.18250608|-0.2938193|0.52885723|-0.10945694|-0.052824512|-0.2267117|-0.90792614|0.015735507|0.2303184|-0.087658376|-0.19368652|-0.94980377|0.017821252|0.18947116|-0.205482|0.3152253|0.29156864|0.1442335|0.6579641|-0.52164984|0.30569902|0.09986819|-0.21237147|0.3516825|-0.01132679|-0.0029383004|0.57420254|0.45339385|0.29973584|0.7630735|-0.28175113|-0.25928643|0.021573305|-0.5135454|0.64632696|-0.120832145|-0.08307527|-0.38694242|0.17549182
5;0.5069852|0.11119697|0.630331|0.4196085|-0.5743245|0.41438246|-0.44383147|-0.7170284|-0.45373148|0.010442466|-0.47425386|-0.51238626|0.01993993|0.325912|0.10974518|0.44751328|-0.18616255|0.014025539|-0.2017784|0.2795192|0.26963595|0.48545796|0.7559351|0.4586821|-0.03591375|0.6167203|0.2724602|0.35547248|0.2319888|-0.049924836|-0.69625366|-0.4852984|-0.07977167|0.31825784|0.32545316|1.1462669|-0.06456706|0.06268412|-0.073985234|0.2919064|-0.21559648|0.3566829|-0.9152621|-0.032838635|0.95122844|-0.26052672|-0.70034|0.32312816|0.41882867|0.09612304|0.2893012|0.41253632|0.6953172|0.6969597|-0.29327747|-0.626621|0.86701566|-0.46882862|-0.03416291|0.15760458|0.48689646|0.017045021|-0.028692007|0.91647875|-0.63036305|0.5526477|-0.0134269595|-0.3419816|0.29283947|0.32866213|-0.7262602|0.6417945|-0.7858083|-0.4380379|-0.39709574|-0.04836388|0.053069457|-0.8052463|0.17079175|0.14713608|-0.44028738|0.42672408|-0.03349336|-0.14344713|0.20498642|0.3822778|0.45590162|0.8522252|0.85374826|-0.17728838|-0.3500243|0.19822623|-0.62467307|-1.0584681|-1.2488526|-0.46462166|-0.01087331|-0.2767728|-0.98787713|0.44820225
6;-0.6435103|0.5583223|-0.13109875|0.29470104|0.06429691|0.6268976|0.9006437|-0.3143948|-0.36269474|0.10226518|-0.78693736|-0.8289624|-0.3393094|0.3566858|-0.268898|0.94961196|-1.0641913|-0.91978675|0.07776359|-0.38050202|-0.35319346|0.73932767|0.3678128|0.071508974|-0.06051618|0.70782673|0.15599035|0.5260358|0.21229732|-0.40808538|-0.68337345|0.27868462|0.10650858|0.94671774|0.56698155|0.27516294|0.60847175|0.119475394|-0.0066764355|-0.59808266|0.16091982|0.5491236|-0.26530755|-0.4578018|1.2837207|0.19636583|-1.1378582|1.5978718|-0.026185945|0.7623092|-0.13640368|-0.06235966|0.7880664|0.6622323|-0.6292983|-0.038060755|0.36211565|0.20703578|-0.14278042|0.375409|0.42841488|-0.16888997|0.5080007|0.06958701|-0.016319826|-0.3057708|0.3597337|-0.594238|0.34808564|0.0043212175|0.82353246|-0.5736832|0.26843172|-1.0857444|0.524867|-0.19510603|-0.2593112|0.17452131|0.2836898|0.78690714|-0.080038786|-0.16948244|0.252302|0.0004573092|0.16126981|0.30948186|-1.0464457|-0.32677716|0.24064043|0.38660818|0.38167435|-0.7510531|0.16710582|-0.48587468|-0.31247967|0.9055859|-0.095158055|-0.6322383|-0.22694731|0.08050057
7;0.3834045|0.28385478|0.05360557|0.4095553|0.090638235|0.20852609|0.9169029|-0.8706606|-0.7250114|0.3230492|0.41844505|-0.7112942|-0.4649253|0.3861968|-0.17004861|-0.565585|-0.46484083|-0.42248082|0.20721215|0.27174205|0.38782966|0.26257524|-0.52263737|-0.024772167|-0.24246028|0.54273474|-0.21665189|1.2066743|0.2770271|0.39373738|-0.46834314|0.2080363|-0.80032283|0.2946856|0.6458668|0.76088214|0.032455236|0.1488002|0.27376324|-0.5493643|-0.57736564|0.56690896|0.18298012|-0.30294892|0.04681708|-0.43866012|-0.28390273|0.676839|-0.113906845|0.4811139|0.66851825|0.5206814|-0.2728309|0.43462458|-0.15379879|0.37395462|0.56598425|0.30062094|-0.5800456|0.11994578|0.25482947|0.6039146|-0.046286017|0.5517937|-0.31133473|0.16922069|1.0777154|-0.28567117|0.37990654|0.7872404|-0.80318403|0.12173672|-1.037182|-0.89357257|-0.15259084|-0.3732952|-0.34486705|0.31224447|0.17911012|0.11589602|0.23338109|-0.26848635|0.053293943|-0.15754682|0.7645259|-0.08539079|-0.045603186|0.07290085|0.18858655|-0.026142359|0.19533606|-0.027769163|-0.3107736|-0.6289669|-0.2910552|0.0759891|0.73289466|-0.08955112|-0.048781484|-0.39566934
8;0.37369764|-0.34666884|-0.27540493|0.32726592|-0.1433015|0.8078357|-0.54319537|0.028879344|0.4161051|0.5582025|-0.19942279|-0.91160923|-0.52256703|0.3553492|0.23481038|0.07354008|-0.61453533|-0.542061|-0.001127854|0.53667593|0.37100756|0.30853015|0.6460241|0.195149|-0.6626086|1.4820096|0.3478586|0.039000988|0.8735539|0.10553892|-0.7887714|-0.5874287|0.23642254|-0.12158953|0.56409985|0.5266648|0.2837738|0.092767775|-0.27078715|0.18552408|-0.057289094|0.24348435|-1.4248602|0.01497015|0.08125392|-0.35305953|-1.0392225|0.052671403|0.7016834|1.2316294|0.36913842|-0.16945794|0.23541985|0.64140284|-0.26432166|0.33839124|0.73683894|0.039570943|-0.3108405|0.66377664|0.26518637|0.35041216|-0.590881|0.3870811|0.5970626|0.31579107|-0.06516652|-0.4312843|-0.2781267|-0.36020654|-0.46308315|-0.18351442|-0.44001755|-0.643215|0.319442|0.16240665|0.74927473|-0.3183839|0.14287242|0.31037924|-0.6645139|0.35421383|0.6138438|-0.107389584|0.8069235|0.30675808|0.15282628|-0.4400509|1.0761192|-0.10994172|0.7175582|0.09532802|0.017397255|-0.032131463|-1.0287349|0.32189247|-0.14324152|-0.39531884|-0.85522807|1.1068017
9;0.39574385|0.13864167|-0.047575474|0.6204312|-0.29388762|-0.4176805|-0.042453438|-0.2898441|-0.66457593|0.13686115|-0.050529063|-0.6135039|-0.81125903|0.44948518|0.2670796|-0.23208268|-0.34779036|-0.4106823|0.9448987|0.048181787|0.04098004|0.5984192|-0.02291876|0.5748019|-0.28518593|0.5980644|0.3343619|0.26953226|0.21115506|0.3351155|-0.21884172|-0.46684858|-0.32803977|0.6829801|0.54940695|0.59676754|0.32309666|0.05898875|0.546854|-0.104312286|-0.59647757|0.69822156|-0.8821132|0.12590133|-0.4230699|-0.7378076|-0.34742254|0.41685522|-0.11235868|0.97179496|0.521189|-0.26166922|0.15903634|0.77731574|-0.25316292|0.47062698|1.1003094|-0.29103622|-0.32116288|0.5795351|0.43913695|0.14408587|-0.6862012|-0.108959764|-0.20078434|-0.020003796|0.86965454|-0.07548487|0.12424533|0.71170884|-0.71444774|-0.11626814|-0.9968646|-0.23918569|0.27880296|-0.7131331|-0.46565008|-0.0997966|0.33174944|0.18912669|-0.69355357|-0.12950224|-0.15059143|-0.39062545|0.84107244|0.42390501|0.18548146|-0.19338538|0.52976024|0.1228652|0.50764364|-0.23622142|-0.006620288|-0.4668344|-0.34232384|0.2333021|0.022324242|-0.87780726|-0.7389174|0.6604527
